lat,lon,year,month
32.0,-117.0,2019,7
32.0,-117.0,2019,8
32.0,-117.0,2019,9
32.0,-117.0,2019,10
32.0,-117.0,2019,11
32.0,-117.0,2019,12
32.0,-117.0,2020,1
32.0,-117.0,2020,2
32.0,-117.0,2020,3
32.0,-117.0,2020,4
32.0,-117.0,2020,5
32.0,-117.0,2020,6
32.0,-117.0,2020,7
32.0,-117.0,2020,8
32.0,-117.0,2020,9
32.0,-117.0,2020,10
32.0,-117.0,2020,11
32.0,-117.0,2020,12
32.0,-117.0,2021,1
32.0,-117.0,2021,2
32.0,-117.0,2021,3
32.0,-117.0,2021,4
32.0,-117.0,2021,5
32.0,-117.0,2021,6
32.0,-117.0,2021,7
32.0,-117.0,2021,8
32.0,-117.0,2021,9
32.0,-117.0,2021,10
32.0,-117.0,2021,11
32.0,-117.0,2021,12
32.0,-116.0,2019,7
32.0,-116.0,2019,8
32.0,-116.0,2019,9
32.0,-116.0,2019,10
32.0,-116.0,2019,11
32.0,-116.0,2019,12
32.0,-116.0,2020,1
32.0,-116.0,2020,2
32.0,-116.0,2020,3
32.0,-116.0,2020,4
32.0,-116.0,2020,5
32.0,-116.0,2020,6
32.0,-116.0,2020,7
32.0,-116.0,2020,8
32.0,-116.0,2020,9
32.0,-116.0,2020,10
32.0,-116.0,2020,11
32.0,-116.0,2020,12
32.0,-116.0,2021,1
32.0,-116.0,2021,2
32.0,-116.0,2021,3
32.0,-116.0,2021,4
32.0,-116.0,2021,5
32.0,-116.0,2021,6
32.0,-116.0,2021,7
32.0,-116.0,2021,8
32.0,-116.0,2021,9
32.0,-116.0,2021,10
32.0,-116.0,2021,11
32.0,-116.0,2021,12
32.0,-115.0,2019,7
32.0,-115.0,2019,8
32.0,-115.0,2019,9
32.0,-115.0,2019,10
32.0,-115.0,2019,11
32.0,-115.0,2019,12
32.0,-115.0,2020,1
32.0,-115.0,2020,2
32.0,-115.0,2020,3
32.0,-115.0,2020,4
32.0,-115.0,2020,5
32.0,-115.0,2020,6
32.0,-115.0,2020,7
32.0,-115.0,2020,8
32.0,-115.0,2020,9
32.0,-115.0,2020,10
32.0,-115.0,2020,11
32.0,-115.0,2020,12
32.0,-115.0,2021,1
32.0,-115.0,2021,2
32.0,-115.0,2021,3
32.0,-115.0,2021,4
32.0,-115.0,2021,5
32.0,-115.0,2021,6
32.0,-115.0,2021,7
32.0,-115.0,2021,8
32.0,-115.0,2021,9
32.0,-115.0,2021,10
32.0,-115.0,2021,11
32.0,-115.0,2021,12
33.0,-119.0,2019,7
33.0,-119.0,2019,8
33.0,-119.0,2019,9
33.0,-119.0,2019,10
33.0,-119.0,2019,11
33.0,-119.0,2019,12
33.0,-119.0,2020,1
33.0,-119.0,2020,2
33.0,-119.0,2020,3
33.0,-119.0,2020,4
33.0,-119.0,2020,5
33.0,-119.0,2020,6
33.0,-119.0,2020,7
33.0,-119.0,2020,8
33.0,-119.0,2020,9
33.0,-119.0,2020,10
33.0,-119.0,2020,11
33.0,-119.0,2020,12
33.0,-119.0,2021,1
33.0,-119.0,2021,2
33.0,-119.0,2021,3
33.0,-119.0,2021,4
33.0,-119.0,2021,5
33.0,-119.0,2021,6
33.0,-119.0,2021,7
33.0,-119.0,2021,8
33.0,-119.0,2021,9
33.0,-119.0,2021,10
33.0,-119.0,2021,11
33.0,-119.0,2021,12
33.0,-118.0,2019,7
33.0,-118.0,2019,8
33.0,-118.0,2019,9
33.0,-118.0,2019,10
33.0,-118.0,2019,11
33.0,-118.0,2019,12
33.0,-118.0,2020,1
33.0,-118.0,2020,2
33.0,-118.0,2020,3
33.0,-118.0,2020,4
33.0,-118.0,2020,5
33.0,-118.0,2020,6
33.0,-118.0,2020,7
33.0,-118.0,2020,8
33.0,-118.0,2020,9
33.0,-118.0,2020,10
33.0,-118.0,2020,11
33.0,-118.0,2020,12
33.0,-118.0,2021,1
33.0,-118.0,2021,2
33.0,-118.0,2021,3
